CFG,Site,Version,Measure,NovW117,NovW217,NovW317,NovW417,DecW117,DecW217,DecW317,DecW417,DecW517,JanW117,JanW217,JanW317,JanW417,JanW517
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,590,590,590,785,785,785,785,785
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,590,590,570,570,570,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,590,570,570,570,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,570,570,570,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,570,570,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,570,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,570,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,570
FP_P2417H_WOST_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,324,416,2270,239,290,2290,321,2471,372,513,381,116,957,251
FP_P2417H_CFG,NFC_Site,FY17Q3W5,MRP_Part,11010,11010,11010,11010,10600,10600,10600,10599,10599,11083,11083,11083,11082,11082
FP_P2417H_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,11705,11705,11705,11330,11330,11330,11330,11330,12299,12299,12299,12299,12299
FP_P2417H_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,11705,11705,11330,11330,11330,11330,11330,12299,12299,12299,12299,12299
FP_P2417H_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,11705,11330,11330,11330,11330,11330,12299,12299,12299,12299,12299
FP_P2417H_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,11310,11310,11310,11310,11310,12279,12279,12279,12279,12279
FP_P2417H_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,11310,11310,11310,11310,12279,12279,12279,12279,12279
FP_P2417H_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,11310,11310,11310,12279,12279,12279,12279,12279
FP_P2417H_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,11310,11310,14460,14460,14460,14460,14460
FP_P2417H_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,11310,14460,14460,14460,14460,14460
FP_P2417H_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,14460,14460,14460,14460,14460
FP_P2417H_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,11310,11310,14310,14310
FP_P2417H_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,11310,14310,14310
FP_P2417H_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,14310,14310
FP_P2417H_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,14310
FP_P2417H_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,14542,8847,11052,7011,15780,8740,14349,12065,6653,7487,13826,15540,12620,9799
FP_P1917S_CFG,NFC_Site,FY17Q3W5,MRP_Part,5454,5454,5454,5453,3780,3780,3780,3780,3780,4939,4939,4939,4939,4938
FP_P1917S_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,4560,4560,4560,4200,4200,4200,4200,4200,4560,4560,4560,4560,4560
FP_P1917S_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,4560,4560,4200,4200,4200,4200,4200,4560,4560,4560,4560,4560
FP_P1917S_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,4560,4200,4200,4200,4200,4200,4560,4560,4560,4560,4560
FP_P1917S_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,4210,4210,4210,4210,4210,4570,4570,4570,4570,4570
FP_P1917S_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,4210,4210,4210,4210,4570,4570,4570,4570,4570
FP_P1917S_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,4210,4210,4210,4570,4570,4570,4570,4570
FP_P1917S_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,4210,4210,3670,3670,3670,3670,3670
FP_P1917S_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,4210,3670,3670,3670,3670,3670
FP_P1917S_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,3680,3680,3680,3680,3680
FP_P1917S_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,3680,3680,3680,3680
FP_P1917S_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,3680,3680,3680
FP_P1917S_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,3880,3880
FP_P1917S_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,3880
FP_P1917S_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,2204,2512,1591,2262,3486,1947,2701,1656,1260,2384,3146,4306,3677,2407
FP_U3415W_CFG,NFC_Site,FY17Q3W5,MRP_Part,600,600,600,600,370,370,370,370,370,400,400,400,400,400
FP_U3415W_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,623,622,622,495,495,495,495,495,528,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,622,622,495,495,495,495,495,528,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,622,495,495,495,495,495,528,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,495,495,495,495,495,528,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,495,495,495,495,528,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,400,450,150,250,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,450,150,250,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,150,250,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,250,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,528,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,528,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,528,528
FP_U3415W_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,528
FP_U3415W_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,773,291,166,354,446,631,676,618,290,244,429,264,581,574
FP_U2412M_CFG,NFC_Site,FY17Q3W5,MRP_Part,5330,5330,5330,5330,4755,4755,4755,4755,4755,4920,4920,4920,4920,4920
FP_U2412M_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,5915,5915,5915,5275,5275,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,5915,5915,5275,5275,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,5915,5275,5275,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,5275,5275,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,5275,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5275,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5275,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5275,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5460,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5460,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5460,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5460,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,5460
FP_U2412M_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,4954,4586,3779,3289,3293,6057,2210,4094,2075,692,4329,2667,5283,5713
FP_P2213_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,18,17,17,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,17,17,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing
